"Point Num","Latitude","Longitude","Serial","Name","IP","Wlan","RSSI (SNR)","Cost","Signal","MAC Address","Channel","Frequency","Timestamp"
"1","-23.975466","28.907703","FE1-2255B-84691","AIRAMPNMFAPFTBIGMIKE","10.196.212.34","wlan1","32","203365","-74","84:8d:84:40:55:c5","149","5745","2023-08-29 08:51:23 UTC"
"1","-23.975466","28.907703","LX5-2455D-49506","AIRAMPNMFAPEP01","10.196.212.10","wlan1","24","567975","-82","04:f0:21:37:f4:38","149","5745","2023-08-29 08:51:23 UTC"
"1","-23.975466","28.907703","ME4-2450R-83423","AIRAMPNMMCLDT84","10.196.213.84","wlan1","9","434272","-97","04:f0:21:a7:53:95","149","5745","2023-08-29 08:51:23 UTC"
"1","-23.975466","28.907703","LX5-2455D-62168","","10.196.213.119","wlan1","14","389284","-92","04:f0:21:38:d0:48","149","5745","2023-08-29 08:51:23 UTC"
"1","-23.975466","28.907703","ME4-2450R-28170","","10.196.213.72","wlan1","10","441095","-96","04:f0:21:09:ea:03","149","5745","2023-08-29 08:51:23 UTC"
"1","-23.975466","28.907703","ME4-2450R-28117","","10.196.213.49","wlan1","10","288730","-96","04:f0:21:09:e8:d1","149","5745","2023-08-29 08:51:23 UTC"
"1","-23.975466","28.907703","ME4-2450R-39271","AIRAMPNMMCLTESTBENCH","10.196.213.254","wlan1","10","628414","-96","04:f0:21:22:64:40","149","5745","2023-08-29 08:51:23 UTC"
"1","-23.975466","28.907703","LX5-2455D-49728","AIRAMPNMMSKID13 BlinkwaterDump","10.196.212.72","wlan1","12","414996","-94","04:f0:21:37:f5:67","149","5745","2023-08-29 08:51:23 UTC"
"1","-23.975466","28.907703","FE1-2255B-84691","AIRAMPNMFAPFTBIGMIKE","10.196.212.34","wlan0","34","543278","-68","84:8d:84:40:55:c7","6","2437","2023-08-29 08:51:23 UTC"
"1","-23.975466","28.907703","ME4-2450R-39271","AIRAMPNMMCLTESTBENCH","10.196.213.254","wlan0","11","981625","-91","04:f0:21:19:e4:e5","6","2437","2023-08-29 08:51:23 UTC"
"1","-23.975466","28.907703","LX5-2455D-49506","AIRAMPNMFAPEP01","10.196.212.10","wlan0","14","133900","-88","84:8d:84:fe:1a:ff","6","2437","2023-08-29 08:51:23 UTC"
"1","-23.975466","28.907703","ME4-2450R-28172","AIRAMPNMMCKJ09","10.196.213.9","wlan0","9","568088","-93","04:f0:21:08:fc:1a","6","2437","2023-08-29 08:51:23 UTC"
"1","-23.975466","28.907703","ME4-2450R-39784","AIRAMPNMMCLST264","10.196.212.144","wlan0","12","382565","-90","04:f0:21:19:e7:0c","6","2437","2023-08-29 08:51:23 UTC"
"1","-23.975466","28.907703","ME4-2450R-28170","","10.196.213.72","wlan0","16","428041","-86","04:f0:21:0e:25:5f","6","2437","2023-08-29 08:51:23 UTC"
"1","-23.975466","28.907703","ME4-2450R-28164","","10.196.213.83","wlan0","18","275056","-84","04:f0:21:08:fc:19","6","2437","2023-08-29 08:51:23 UTC"
"2","-23.975433","28.907581","FE1-2255B-84691","AIRAMPNMFAPFTBIGMIKE","10.196.212.34","wlan1","29","185491","-77","84:8d:84:40:55:c5","149","5745","2023-08-29 08:51:24 UTC"
"2","-23.975433","28.907581","LX5-2455D-49506","AIRAMPNMFAPEP01","10.196.212.10","wlan1","19","567975","-87","04:f0:21:37:f4:38","149","5745","2023-08-29 08:51:24 UTC"
"2","-23.975433","28.907581","ME4-2450R-83423","AIRAMPNMMCLDT84","10.196.213.84","wlan1","10","434272","-96","04:f0:21:a7:53:95","149","5745","2023-08-29 08:51:24 UTC"
"2","-23.975433","28.907581","LX5-2455D-62168","","10.196.213.119","wlan1","12","389284","-94","04:f0:21:38:d0:48","149","5745","2023-08-29 08:51:24 UTC"
"2","-23.975433","28.907581","ME4-2450R-28170","","10.196.213.72","wlan1","13","441095","-93","04:f0:21:09:ea:03","149","5745","2023-08-29 08:51:24 UTC"
"2","-23.975433","28.907581","ME4-2450R-28117","","10.196.213.49","wlan1","9","288730","-97","04:f0:21:09:e8:d1","149","5745","2023-08-29 08:51:24 UTC"
"2","-23.975433","28.907581","ME4-2450R-39271","AIRAMPNMMCLTESTBENCH","10.196.213.254","wlan1","11","628414","-95","04:f0:21:22:64:40","149","5745","2023-08-29 08:51:24 UTC"
"2","-23.975433","28.907581","LX5-2455D-49728","AIRAMPNMMSKID13 BlinkwaterDump","10.196.212.72","wlan1","13","414996","-93","04:f0:21:37:f5:67","149","5745","2023-08-29 08:51:24 UTC"
"2","-23.975433","28.907581","FE1-2255B-84691","AIRAMPNMFAPFTBIGMIKE","10.196.212.34","wlan0","36","604533","-66","84:8d:84:40:55:c7","6","2437","2023-08-29 08:51:24 UTC"
"2","-23.975433","28.907581","ME4-2450R-39271","AIRAMPNMMCLTESTBENCH","10.196.213.254","wlan0","11","981625","-91","04:f0:21:19:e4:e5","6","2437","2023-08-29 08:51:24 UTC"
"2","-23.975433","28.907581","LX5-2455D-49506","AIRAMPNMFAPEP01","10.196.212.10","wlan0","17","184659","-85","84:8d:84:fe:1a:ff","6","2437","2023-08-29 08:51:24 UTC"
"2","-23.975433","28.907581","ME4-2450R-28172","AIRAMPNMMCKJ09","10.196.213.9","wlan0","9","568088","-93","04:f0:21:08:fc:1a","6","2437","2023-08-29 08:51:24 UTC"
"2","-23.975433","28.907581","ME4-2450R-39784","AIRAMPNMMCLST264","10.196.212.144","wlan0","12","382565","-90","04:f0:21:19:e7:0c","6","2437","2023-08-29 08:51:24 UTC"
"2","-23.975433","28.907581","ME4-2450R-28170","","10.196.213.72","wlan0","23","476792","-79","04:f0:21:0e:25:5f","6","2437","2023-08-29 08:51:24 UTC"
"2","-23.975433","28.907581","ME4-2450R-28164","","10.196.213.83","wlan0","19","374166","-83","04:f0:21:08:fc:19","6","2437","2023-08-29 08:51:24 UTC"
"3","-23.9754","28.907469","FE1-2255B-84691","AIRAMPNMFAPFTBIGMIKE","10.196.212.34","wlan1","39","167280","-67","84:8d:84:40:55:c5","149","5745","2023-08-29 08:51:28 UTC"
"3","-23.9754","28.907469","LX5-2455D-49506","AIRAMPNMFAPEP01","10.196.212.10","wlan1","12","547199","-94","04:f0:21:37:f4:38","149","5745","2023-08-29 08:51:28 UTC"
"3","-23.9754","28.907469","ME4-2450R-83423","AIRAMPNMMCLDT84","10.196.213.84","wlan1","10","434272","-96","04:f0:21:a7:53:95","149","5745","2023-08-29 08:51:28 UTC"
"3","-23.9754","28.907469","LX5-2455D-62168","","10.196.213.119","wlan1","12","389284","-94","04:f0:21:38:d0:48","149","5745","2023-08-29 08:51:28 UTC"
"3","-23.9754","28.907469","ME4-2450R-28170","","10.196.213.72","wlan1","9","441095","-97","04:f0:21:09:ea:03","149","5745","2023-08-29 08:51:28 UTC"
"3","-23.9754","28.907469","ME4-2450R-28117","","10.196.213.49","wlan1","9","288730","-97","04:f0:21:09:e8:d1","149","5745","2023-08-29 08:51:28 UTC"
"3","-23.9754","28.907469","ME4-2450R-39271","AIRAMPNMMCLTESTBENCH","10.196.213.254","wlan1","11","628414","-95","04:f0:21:22:64:40","149","5745","2023-08-29 08:51:28 UTC"
"3","-23.9754","28.907469","LX5-2455D-49728","AIRAMPNMMSKID13 BlinkwaterDump","10.196.212.72","wlan1","10","328668","-96","04:f0:21:37:f5:67","149","5745","2023-08-29 08:51:28 UTC"
