"Trace to:","Serial:","AG1-5250M-100760","Name:","LDV","IP:","10.196.213.231"
"Point Num","Latitude","Longitude","Type","IP/MAC","Interface","Cost","Encap ID","Channel","Frequency","Signal","RSSI (SNR)","Rate (Kb/s)","Hop Cost","Timestamp"
"1","-23.975466","28.907703","WIRELESS_PEER","84:8d:84:fe:1a:ff","wlan0","164958","49506","6","2437","-88","14","10","150000","2023-08-29 08:51:23 UTC"
"2","-23.975433","28.907581","WIRELESS_PEER","84:8d:84:40:55:c5","wlan1","185597","84691","149","5745","-77","29","130","185491","2023-08-29 08:51:24 UTC"
"3","-23.9754","28.907469","WIRELESS_PEER","84:8d:84:40:55:c5","wlan1","186622","84691","149","5745","-67","39","60","186517","2023-08-29 08:51:28 UTC"
"4","-23.97537","28.907364","WIRELESS_PEER","84:8d:84:40:55:c5","wlan1","150622","84691","149","5745","-67","39","60","150517","2023-08-29 08:51:32 UTC"
"5","-23.975317","28.907166","WIRELESS_PEER","84:8d:84:40:55:c5","wlan1","136935","84691","149","5745","-71","35","280","136831","2023-08-29 08:51:36 UTC"
"6","-23.975264","28.906971","WIRELESS_PEER","84:8d:84:40:55:c5","wlan1","115892","84691","149","5745","-75","31","280","115788","2023-08-29 08:51:40 UTC"
"7","-23.975157","28.9066","WIRELESS_PEER","84:8d:84:40:55:c5","wlan1","104240","84691","149","5745","-78","28","60","104134","2023-08-29 08:51:44 UTC"
"8","-23.975079","28.906267","WIRELESS_PEER","84:8d:84:40:55:c5","wlan1","104238","84691","149","5745","-78","28","60","104134","2023-08-29 08:51:48 UTC"
"9","-23.974995","28.90591","WIRELESS_PEER","84:8d:84:40:55:c5","wlan1","93306","84691","149","5745","-74","32","130","93201","2023-08-29 08:51:52 UTC"
"10","-23.974922","28.90557","WIRELESS_PEER","84:8d:84:40:55:c5","wlan1","93306","84691","149","5745","-77","29","60","93201","2023-08-29 08:51:56 UTC"
"11","-23.97491","28.905348","WIRELESS_PEER","84:8d:84:40:55:c5","wlan1","113615","84691","149","5745","-72","34","190","113510","2023-08-29 08:52:00 UTC"
"12","-23.975033","28.905134","WIRELESS_PEER","84:8d:84:40:55:c5","wlan1","115715","84691","149","5745","-86","20","190","115607","2023-08-29 08:52:04 UTC"
